Pris,Area,Avgift,Rum
7600000,86,4376,3
4950000,50,2874,2
7050000,76,2203,3
4550000,52,2638,2
5800000,74,3989,3
2750000,27.5,1193,1
4300000,53.5,3473,2
4570000,60,3494,2
2900000,36.5,2053,2
4900000,69,4133,3
4125000,58.5,3337,2
5500000,56,2912,2
4850000,56,2800,2
6250000,86,3693,4
8450000,92,3605,3
8075000,83,4397,3
3400000,31,1077,2
5300000,79.5,4546,3
6800000,77,3977,3
5060000,55,2543,2
4100000,42,2448,1
5300000,71,2997,3
5600000,62,2658,2
2650000,26,1434,1
2500000,24,1490,1
8720000,101,4007,4
3925000,48,2637,2
7500000,82,4202,3
8250000,83,3330,3
7100000,71,2047,2
2600000,27,629,1
7600000,84,3202,3
3090000,46.5,2491,2
4450000,47,2303,2
5800000,65.5,2473,2
3400000,45.5,3931,2
2850000,35,2477,1
9900000,109.4,4936,4
5500000,63,2029,3
2600000,27,1481,1
11750000,125,4590,4
4050000,41,2077,2
3550000,33,1297,2
8e+06,87,2841,3
4100000,44,3386,2
2925000,40,2661,2
4900000,55,2309,2
8e+06,90,3468,2
8525000,119,2125,4
9950000,84,3771,3
8650000,78,2971,3
3e+06,33,2396,1
5930000,63,2169,2
6850000,79,3975,4
7200000,68,3173,2
3460000,37,1673,2
1.5e+07,136,4916,4
4450000,45,2283,2
2900000,25,931,1
3950000,34,566,2
3480000,34,1855,1
5100000,62,2954,2
7300000,90,4711,3
3900000,41,3225,2
4800000,56,2711,2
6550000,80,2301,3
4350000,43,2183,2
6300000,77,4015,4
3475000,41,2641,1
5100000,63,2468,4
5e+06,56,2782,2
4950000,54,3102,2
4100000,53,2821,2
5300000,84,3627,4
5400000,50,2042,2
8100000,93,2786,3
3995000,54,2973,2
2950000,29,1330,1
13150000,135,5654,4
6e+06,78,3806,3
5895000,76,3749,2
5150000,77,3727,3
3400000,41,1922,1
2825000,30,2079,1
9600000,113,4781,4
9450000,85,2351,2
6500000,62,3408,2
9190000,90,2851,3
5930000,67,3213,2
6500000,67,2488,2
7125000,64,3646,2
4770000,54,1660,2
4650000,48,2453,2
4e+06,38,1499,1
10150000,87,3682,4
2800000,36,2091,1
10400000,104,3997,4
7900000,76,2756,3
3400000,26,748,1
8600000,86,3888,3
8170000,89,4677,3
4450000,49,2434,2
9500000,91,5369,3
4e+06,45,1786,2
3930000,40,1173,2
2500000,19,620,1
2200000,17,1229,1
5030000,56,1793,2
6225000,70,3532,2
5e+06,50,2649,2
7095000,76.3,3103,3
6200000,75,5247,3
2910000,33,2662,2
3200000,38,2046,1
3120000,34,1883,1
5800000,81,3727,3
6525000,58,3437,2
5800000,58,1593,2
10100000,81,2297,3
6920000,61,2723,2
14325000,132,4940,4
5600000,56,2479,2
2475000,22,1620,1
8020000,84.3,3622,3
6570000,65,2231,3
3230000,33,1432,2
3700000,38,1308,2
3730000,34.2,1482,2
3475000,30,1212,1
4250000,45,2825,2
9200000,98,4951,3
7e+06,80,3613,3
3200000,49,4537,2
10500000,104,5680,4
8500000,80,4445,3
3925000,39,1960,2
6e+06,76.5,4037,3
4995000,65,3172,2
3550000,45,1757,2
4260000,46.5,2042,1
4e+06,58,2349,2
5200000,71,3268,3
5e+06,51,3350,2
3e+06,42,2470,2
2600000,27,824,1
4750000,61,3114,2
3295000,31,660,1
7250000,75,2663,3
4400000,61,3082,2
7e+06,67,1962,2
6220000,64,4518,3
6800000,67,2432,3
6e+06,83.5,3532,3
3950000,46,2116,2
3350000,37,1994,2
3275000,34,2433,1
5550000,54,3607,2
5200000,55,2303,2
2695000,34,1847,1
12800000,118,4369,4
6100000,81,4195,3
3450000,37,2252,2
10800000,117,3411,4
4400000,54,2520,2
2550000,23,2042,1
2950000,36,2134,1
7500000,70,2541,3
6700000,89,3158,3
3570000,35,1365,1
3600000,31,1665,1
8200000,97,6365,4
2840000,28,1560,1
8960000,71,1707,3
3530000,37,1916,2
5100000,56,2583,2
17800000,175,5310,5
3600000,45,3375,2
4650000,59,3639,2
15100000,177,5183,5
5200000,76,4520,3
3600000,40.5,2781,2
7350000,82,4256,4
3025000,38,1756,2
4795000,67,2694,2
